feature_name,feature_importance
Delivery,-0.028544889881633936
delivery_sales_ratio,0.016100641444185906
Production,-0.004692640488223385
Factory_Issue,-0.002933090490897156
Sales_lag_2,-0.0021977150999138912
inventory_proxy,-0.002160854624706095
production_sales_ratio,0.0019273542498844745
Sales_lag_7,-0.0016577458693468386
Sales_lag_28,-0.0016570310863969423
factory_issue_rate,-0.0015501216000098684
Sales_lag_1,-0.0009008852932925158
Sales_lag_14,-0.0008325744985293709
Sales_lag_21,-0.0007599591743819768
Sales_lag_3,-0.0005828131640335481
Product,0.00036699881178743675
Sub-Group,0.00016993722910344972
stock_market_close,-0.0001369798636279297
currency_log_return,-0.00011586689353072115
holiday_type,0.0001068510961967246
balance_of_trade,-0.00010225496321477082
