iter	RMSE
0	0.08295629429
1	0.08011043528
2	0.0771658997
3	0.07446046112
4	0.07180507188
5	0.06936162123
6	0.06705355813
7	0.0646231978
8	0.06249044937
9	0.06034866236
10	0.05838833422
11	0.05647208848
12	0.05481946528
13	0.05311718278
14	0.05119956932
15	0.0496621101
16	0.04823312189
17	0.04664215022
18	0.04514112063
19	0.0438824332
20	0.04265662066
21	0.04150239941
22	0.04023066086
23	0.03920381181
24	0.03830176519
25	0.03729292075
26	0.03637143511
27	0.03543075609
28	0.03442978258
29	0.03355453645
30	0.03289120638
31	0.03210250319
32	0.03131739672
33	0.0304168056
34	0.02974699239
35	0.02892996209
36	0.02831656844
37	0.02780217538
38	0.02721262529
39	0.02654002721
40	0.02600816764
41	0.02546586988
42	0.02504607069
43	0.02460089526
44	0.02408052366
45	0.02371313165
46	0.02338054475
47	0.02305481092
48	0.02256547794
49	0.02216969864
50	0.02175953478
51	0.02138122709
52	0.02101600164
53	0.02072153919
54	0.02042682979
55	0.02004624849
56	0.01978679093
57	0.01948015266
58	0.01919167342
59	0.01895633209
60	0.01872713462
61	0.01840483772
62	0.01819481626
63	0.01799003449
64	0.0177685025
65	0.01749096875
66	0.01727493378
67	0.01710370319
68	0.01694496249
69	0.01677146424
70	0.0165804454
71	0.01644485598
72	0.01628637977
73	0.01608935039
74	0.01592653657
75	0.01579913555
76	0.0156606868
77	0.0155512896
78	0.01536129039
79	0.01522758351
80	0.01509588826
81	0.01501213102
82	0.0149115833
83	0.01480599738
84	0.0147132645
85	0.01462656656
86	0.01451780836
87	0.01439856702
88	0.01431245418
89	0.01420796802
90	0.01413502973
91	0.01400698551
92	0.01388114642
93	0.01381442905
94	0.0137139231
95	0.01362860693
96	0.01353972907
97	0.01348243014
98	0.01343306109
99	0.0133272834
100	0.01325844073
101	0.01319566002
102	0.01312156583
103	0.01305729675
104	0.01292795918
105	0.01285856609
106	0.0128110928
107	0.01273245489
108	0.01265822438
109	0.01259898226
110	0.01249012048
111	0.01240469175
112	0.01235329878
113	0.01229984162
114	0.01225421854
115	0.01217916346
116	0.0121304901
117	0.01205732879
118	0.01200502472
119	0.01194577168
120	0.01190085659
121	0.01185513812
122	0.01178614523
123	0.01173858072
124	0.01171432842
125	0.01164439095
126	0.01160157746
127	0.01153623652
128	0.01149059776
129	0.01142573346
130	0.01134969126
131	0.01129871046
132	0.01126108095
133	0.01123794784
134	0.01119879559
135	0.01113044271
136	0.01105361766
137	0.01099338339
138	0.01093552415
139	0.010867358
140	0.01079349209
141	0.01076943335
142	0.01071314689
143	0.01066427691
144	0.01060633428
145	0.01055019221
146	0.01049912534
147	0.01044364705
148	0.01040251641
149	0.01036512636
150	0.01033519391
151	0.01029257005
152	0.01022602665
153	0.01019248474
154	0.01016786359
155	0.01010419276
156	0.01005205369
157	0.0100098254
158	0.009966343014
159	0.009924640474
160	0.009887432038
161	0.009843130294
162	0.009775727426
163	0.009761887772
164	0.009731174537
165	0.009699989078
166	0.009671344969
167	0.00962326145
168	0.009601117627
169	0.009549491551
170	0.009522188073
171	0.009489493966
172	0.009433776615
173	0.0094035152
174	0.009346520051
175	0.00930249064
176	0.009279585098
177	0.009241701676
178	0.009216782812
179	0.009166518653
180	0.009114624585
181	0.009065667821
182	0.009016753062
183	0.008979643949
184	0.008946425944
185	0.008908280543
186	0.00886592594
187	0.008813867194
188	0.008780077408
189	0.008746773123
190	0.008722151699
191	0.008680424324
192	0.008635949192
193	0.008598490831
194	0.008564394496
195	0.00852929156
196	0.008491003626
197	0.008458518886
198	0.00843131827
199	0.008397190886
200	0.00837015658
201	0.008341889667
202	0.008295365634
203	0.008262737208
204	0.008242967793
205	0.008214476094
206	0.00816611075
207	0.008143798779
208	0.008113843814
209	0.008091054404
210	0.00804034018
211	0.007993380422
212	0.007967709536
213	0.007950328848
214	0.007924581792
215	0.007906370186
216	0.007864998085
217	0.007840806936
218	0.007803527525
219	0.007759871888
220	0.007740842462
221	0.00769726058
222	0.007666908683
223	0.007656041209
224	0.007616354249
225	0.007584305982
226	0.007563159999
227	0.007539432934
228	0.007524130637
229	0.007507126882
230	0.007482607143
231	0.007449577477
232	0.007423507795
233	0.007391990139
234	0.007376633561
235	0.007341431235
236	0.007315060324
237	0.007285177919
238	0.007268934553
239	0.007248246534
240	0.007223569628
241	0.007202887994
242	0.007187381144
243	0.007163577388
244	0.00712751999
245	0.007111501734
246	0.007084590813
247	0.007069179892
248	0.007037561992
249	0.007021191712
250	0.006996207844
251	0.006976436009
252	0.006947376895
253	0.006925426012
254	0.006905922253
255	0.00688748525
256	0.006864651968
257	0.006851748343
258	0.006837192566
259	0.006814079727
260	0.006783001832
261	0.006765637488
262	0.006742515473
263	0.006709210173
264	0.006695402221
265	0.006674220911
266	0.00665366705
267	0.006631556174
268	0.006603326799
269	0.006574993846
270	0.006560601164
271	0.006548928865
272	0.006520306708
273	0.006504108026
274	0.00646786561
275	0.006460495226
276	0.0064464016
277	0.006414862216
278	0.006396923142
279	0.006371814664
280	0.006347860898
281	0.006320925908
282	0.006308615823
283	0.006297272127
284	0.006280568264
285	0.006257908124
286	0.006233484515
287	0.006216207651
288	0.006187531732
289	0.006160168772
290	0.006147676439
291	0.006133291741
292	0.006112410743
293	0.006088221151
294	0.006078132769
295	0.006055346538
296	0.006032987845
297	0.006017273323
298	0.00599485909
299	0.005979594829
300	0.005962862387
301	0.005940092926
302	0.005921619245
303	0.005902396326
304	0.005888904916
305	0.005873343242
306	0.005859277572
307	0.005840710606
308	0.005817163526
309	0.005803571727
310	0.005784852493
311	0.005763764638
312	0.005748348547
313	0.005735231342
314	0.00571893529
315	0.005699983402
316	0.005686412823
317	0.005679708228
318	0.005668715025
319	0.005655337526
320	0.005642573746
321	0.005616597097
322	0.005609842023
323	0.005591947902
324	0.005585412793
325	0.005579488557
326	0.005563400648
327	0.0055491881
328	0.005541809841
329	0.005523947891
330	0.005510471959
331	0.005490499949
332	0.005476641502
333	0.005470587931
334	0.005454538476
335	0.005442333736
336	0.005429313663
337	0.005423848603
338	0.005400230584
339	0.005387445812
340	0.005370620766
341	0.005356876131
342	0.005351482269
343	0.005344082439
344	0.005339171095
345	0.005332660757
346	0.005312476595
347	0.005294739154
348	0.005272991198
349	0.005257500931
350	0.005248047062
351	0.005235886502
352	0.005223320356
353	0.005204781822
354	0.005192550481
355	0.005173743115
356	0.005162327763
357	0.005136222159
358	0.005123659745
359	0.005108387105
360	0.005092706696
361	0.005088279585
362	0.00507648257
363	0.005067995403
364	0.005050804098
365	0.005044100657
366	0.005032655548
367	0.005024005884
368	0.005007232184
369	0.004996617113
370	0.004980616254
371	0.004966691067
372	0.004960767021
373	0.004947580553
374	0.004932108829
375	0.00491173995
376	0.004899936435
377	0.004881853269
378	0.004865909107
379	0.004862329107
380	0.004848820822
381	0.004842901514
382	0.004832103741
383	0.004817635363
384	0.004803211718
385	0.004798085771
386	0.004785237898
387	0.004771155131
388	0.004762968891
389	0.004753976099
390	0.004744435435
391	0.004740951523
392	0.004730363129
393	0.004723062952
394	0.004707995105
395	0.004702912935
396	0.004687330339
397	0.004680733195
398	0.004667835389
399	0.004657550511
400	0.004643414351
401	0.004633013145
402	0.004621008902
403	0.004606340978
404	0.00459809278
405	0.004586998521
406	0.004573934372
407	0.004558531696
408	0.004551112138
409	0.004537150738
410	0.004530500238
411	0.004525308849
412	0.004515161082
413	0.004505751039
414	0.004494763394
415	0.004483325923
416	0.004470564335
417	0.004463731792
418	0.004452442199
419	0.004443204138
420	0.004439779046
421	0.004430914837
422	0.004421759086
423	0.004416015408
424	0.004407167191
425	0.00439831638
426	0.004389580286
427	0.004378134068
428	0.004367819605
429	0.004363172884
430	0.004352153319
431	0.004341330007
432	0.004334746712
433	0.004318124732
434	0.004305561167
435	0.004296321056
436	0.004285572038
437	0.004273820164
438	0.004262026783
439	0.004253895403
440	0.004247613925
441	0.00423866607
442	0.004234071355
443	0.004224792582
444	0.004217961591
445	0.004206580127
446	0.004193411176
447	0.004183383107
448	0.004174696845
449	0.004163835912
450	0.004155179765
451	0.004147568685
452	0.004141250046
453	0.004134264737
454	0.004129524016
455	0.004115824723
456	0.004107723029
457	0.004100875147
458	0.004090988342
459	0.004086035808
460	0.004081204413
461	0.004077549989
462	0.004070227464
463	0.004062397255
464	0.004054510876
465	0.00404685416
466	0.004037408634
467	0.004028398586
468	0.004020861161
469	0.004017717122
470	0.004011520735
471	0.004000823868
472	0.00399216467
473	0.003983666604
474	0.003975557088
475	0.003972506685
476	0.003963417704
477	0.003953245563
478	0.003949462859
479	0.003940958159
480	0.003933359402
481	0.003927917357
482	0.003924799788
483	0.0039159586
484	0.003910215483
485	0.003907396791
486	0.003899988694
487	0.003893047563
488	0.003889603655
489	0.003879034884
490	0.003874669074
491	0.003864597716
492	0.00385698382
493	0.003849667233
494	0.003840113443
495	0.00383199491
496	0.003822288903
497	0.003815609587
498	0.003806512923
499	0.003799436805
